layer,unit,val correlation,weight0,concept0,weight1,concept1,weight2,concept2,weight3,concept3,weight4,concept4,weight5,concept5,weight6,concept6,weight7,concept7,weight8,concept8,weight9,concept9,bias,sim correlation
encoder.layers.encoder_layer_23.mlp[1],0,0.5792329086153406,0.975749,brown bear,0.6281038,hippopotamus,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-0.0169808641076087,0.53204345703125
encoder.layers.encoder_layer_23.mlp[1],1,0.83457912112051,3.429429,Welsh Springer Spaniel,1.9004722,Brittany dog,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-0.0983800292015075,0.8062992691993713
encoder.layers.encoder_layer_23.mlp[1],2,0.2001483416262891,0.23756987,neonate,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-0.0513816438615322,0.06627172976732254
encoder.layers.encoder_layer_23.mlp[1],3,0.0185037303593032,0.042392015,great white shark,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-0.0326234251260757,0.01742694526910782
encoder.layers.encoder_layer_23.mlp[1],4,0.1335949222793789,0.5162212,Briard,0.19923095,whelp,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-0.030684346333146,0.34394776821136475
encoder.layers.encoder_layer_23.mlp[1],5,0.2290350424981493,1.2463495,loupe magnifying glass,0.4772448,toilet seat,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-0.0633863434195518,0.12805718183517456
encoder.layers.encoder_layer_23.mlp[1],6,0.6194807132515462,0.9221351,lorikeet,0.7406174,proboscis monkey,0.56650543,robin,0.1928674,indigo bunting,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-0.0153551930561661,0.7321125268936157
encoder.layers.encoder_layer_23.mlp[1],7,0.6761713802445081,1.4597962,St. Bernard,0.9247205,Welsh Springer Spaniel,0.8995736,borzoi,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-0.0138024715706706,0.5966753959655762
encoder.layers.encoder_layer_23.mlp[1],8,0.0720051928900677,0.069767095,dog,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-0.0604802407324314,0.06708888709545135
encoder.layers.encoder_layer_23.mlp[1],9,0.0090821646046128,0.017843466,great white shark,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-0.0309204123914241,0.008285622112452984
encoder.layers.encoder_layer_23.mlp[1],10,0.2327735657802233,0.284518,balloon,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-0.0545309484004974,0.21988511085510254
encoder.layers.encoder_layer_23.mlp[1],11,0.1161366108866006,0.107032,habitat,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-0.0262438245117664,0.11751865595579147
encoder.layers.encoder_layer_23.mlp[1],12,0.6183680450577442,1.1123403,Schipperke,1.0705774,Siamese cat,0.90467435,Norwegian Elkhound,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-0.0058804452419281,0.611835241317749
encoder.layers.encoder_layer_23.mlp[1],13,0.3353996404827878,0.6286464,modem,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-0.0266322549432516,0.20678403973579407
encoder.layers.encoder_layer_23.mlp[1],14,0.3047749364896894,0.44701886,macaw,0.32027575,hummingbird,0.24711226,black swan,0.20489775,platypus,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-0.0918115600943565,0.240536630153656
encoder.layers.encoder_layer_23.mlp[1],15,0.2170594566960471,0.36741048,hair clip,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-0.0223282370716333,-0.032110534608364105
encoder.layers.encoder_layer_23.mlp[1],16,0.7264239674339945,1.3906704,Leonberger,1.2371088,Great Pyrenees dog,1.1516271,St. Bernard,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-0.0084652146324515,0.7560854554176331
encoder.layers.encoder_layer_23.mlp[1],17,0.2336227438553465,0.43611374,flock,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-0.0146701214835047,0.014248210936784744
encoder.layers.encoder_layer_23.mlp[1],18,0.0585914930821808,0.14812542,species,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-0.033306997269392,0.05129610374569893
encoder.layers.encoder_layer_23.mlp[1],19,0.1276097297550103,0.48149836,beating,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-0.0302025526762008,0.11314467340707779
encoder.layers.encoder_layer_23.mlp[1],20,0.2504092023071901,0.5157955,park bench,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-0.0198764242231845,0.1902996301651001
encoder.layers.encoder_layer_23.mlp[1],21,0.0527240723901296,0.16575822,rodent,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-0.0244297441095113,0.039222799241542816
encoder.layers.encoder_layer_23.mlp[1],22,0.7041765085934172,3.9238815,drum,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-0.0998140051960945,0.6138535737991333
encoder.layers.encoder_layer_23.mlp[1],23,0.2668850312624058,0.5986036,parcel,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-0.0367140211164951,-0.009190253913402557
encoder.layers.encoder_layer_23.mlp[1],24,0.0976160689876701,0.010511633,doggie,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-0.006778887938708,0.11465786397457123
encoder.layers.encoder_layer_23.mlp[1],25,0.0834999251000168,0.066212334,wildlife,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-0.0273262709379196,0.04333794489502907
encoder.layers.encoder_layer_23.mlp[1],26,0.7290250377687892,1.8078363,Sussex Spaniel,1.6062565,Leonberger,1.380127,Bedlington Terrier,1.366017,Papillon,0.5547145,Japanese Chin,0.0,0,0,0,0,0,0,0,0,0,-0.0151283321902155,0.6829627156257629
encoder.layers.encoder_layer_23.mlp[1],27,0.1425610052853169,0.02438708,habitat,0.012345289,canine,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-0.0067400434054434,0.14250092208385468
encoder.layers.encoder_layer_23.mlp[1],28,0.0694061529019257,0.14072691,species,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-0.0218306984752416,0.0633787289261818
encoder.layers.encoder_layer_23.mlp[1],29,0.4862742069206767,1.0035038,bathtub,0.7865856,bucket,0.7305617,wheelbarrow,0.54827154,kayak,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-0.0140044670552015,0.4894755482673645
