layer,unit,val correlation,weight0,concept0,weight1,concept1,weight2,concept2,weight3,concept3,weight4,concept4,bias,sim correlation
layer4,0,0.28028456879003,1.4767232,screw,1.4565847,mousetrap,1.4494148,baby pacifier,0.7360071,toiletry,0.13450374,instrumentality,0.3286037743091583,0.22621960937976837
layer4,1,0.2651533419190887,2.5724008,traffic or street sign,1.8102056,doormat,1.7590494,dust jacket,1.692886,bottle cap,0.89393646,bottle,0.6255096793174744,0.228415384888649
layer4,2,0.3724514684594916,2.292201,lab coat,1.878271,bridegroom,1.5881064,gown,0.7296437,toiletry,0.337423,clothing,0.4562263786792755,0.3310764729976654
layer4,3,0.3757012240915781,0.90231293,weapon,0.78882766,rodent,0.72516376,ship,0.2787029,conveyance,0.12323642,instrumentality,0.3433037400245666,0.32276731729507446
layer4,4,0.3816119875380825,2.1593273,cardboard box / carton,1.0791963,sandwich,0.52567315,substance,0.31021768,equipment,0.22704703,artifact,0.3806216418743133,0.26452550292015076
layer4,5,0.3072304302887165,2.57533,hot dog,1.4917387,weapon,1.2754465,pen,0.768447,salamander,0.52530736,amphibian,0.5041995644569397,0.285436749458313
layer4,6,0.3271872685878477,1.6763237,lab coat,1.5594047,suit,1.0235335,necktie,0.4177719,hunting dog,0.31162605,clothing,0.4642324149608612,0.2540505528450012
layer4,7,0.3142023043479784,2.275609,weight,1.4728374,orthopterous insect,1.334624,Tibetan Mastiff,0.92988276,bear,0.19888583,canine,0.4603670537471771,0.21475590765476227
layer4,8,0.5127487575588013,2.684397,tusker,2.5642514,elephant,1.9885267,viaduct,1.2928184,swine,0.3030033,ungulate,0.3551144003868103,0.4009481966495514
layer4,9,0.4003935587787711,1.9800962,greenhouse,1.969234,pirate ship,1.4547157,sailing vessel,0.24579856,conveyance,0.11791984,artifact,0.3675163686275482,0.3261716961860657
layer4,10,0.3558930435570914,1.0817146,triumphal arch,0.8934573,Leonberger,0.8627894,vaulted or arched ceiling,0.30012453,musical instrument,0.1352482,carnivore,0.2525442540645599,0.2897309362888336
layer4,11,0.3238348117460874,2.1336708,bookcase,1.654011,library,1.3700563,bookstore,0.8067389,ape,0.7901331,toiletry,0.3406201899051666,0.36014795303344727
layer4,12,0.3854243554162752,1.8658441,plant pot,1.2534016,primate,1.1697332,fungus,0.81755626,amphibian,0.8131653,dish,0.5722435712814331,0.37310004234313965
layer4,13,0.3913233645059526,2.3576417,Basenji,2.2537582,St. Bernard,2.1717522,springer spaniel,2.0773149,sennenhunde,1.6000241,corgi,0.4716999232769012,0.3950886130332947
layer4,14,0.3553460724300037,1.7132741,bridegroom,1.4161607,slot machine,1.3706182,military hat (bearskin or shako),0.40133494,clothing,0.19149022,artifact,0.4246333241462707,0.19999811053276062
layer4,15,0.393598805915732,1.9666333,bowl,1.9365662,mortar and pestle,1.9237707,bucket,0.85974914,utensil,0.26175132,vessel,0.4454990923404693,0.3796723484992981
layer4,16,0.4065431629922214,3.6407676,carousel,0.7806743,toy dog,0.47702342,conveyance,0.39526504,structure,0.276338,dog,0.4433679580688476,0.31083256006240845
layer4,17,0.3113381358968106,1.3398685,trilobite,1.0853472,triceratops,0.9578463,tarantula,0.2565167,primate,0.15047756,invertebrate,0.2388712465763092,0.3704468905925751
layer4,18,0.2863989676740975,1.7409112,picket fence,1.7097864,corn,1.5564493,dishcloth,1.5007068,slide rule,1.0121623,squash,0.404381513595581,0.32859233021736145
layer4,19,0.286582787020041,1.1938984,cherimoya (custard apple),1.0843872,boa,1.0479033,frog,0.89707035,viper,0.24804541,reptile,0.392135888338089,0.2613210380077362
layer4,20,0.2783247886283816,1.3134497,photocopier,1.270895,mosquito net,1.1185323,Angora rabbit,0.39695072,home appliance,0.08710907,artifact,0.3506447076797485,0.23306363821029663
layer4,21,0.3060874384089442,2.907897,bubble,2.2943466,Petri dish,1.7993121,glass,0.83613724,bottle,0.18721372,container,0.4812897443771362,0.4334944486618042
layer4,22,0.3162962240296265,2.4585748,planetarium,1.751604,lorikeet,1.6973931,oscilloscope,1.277922,bear,0.97225285,cruciferous vegetable,0.4421486258506775,0.3044684827327728
layer4,23,0.2952827906009351,2.2917628,geyser,1.6752487,fireboat,1.5800313,flatworm,1.0000271,spitz,0.708215,amphibian,0.347340852022171,0.33566296100616455
layer4,24,0.3578369190567687,5.0701814,jeans,1.7648541,slip-on shoe,1.5890969,indigo bunting,1.4316792,common gallinule,0.12976569,artifact,0.4723330736160278,0.3585472106933594
layer4,25,0.3034098899664049,2.223857,rickshaw,1.9424357,tricycle,1.8560318,chair,1.345052,bicycle,0.39627284,clothing,0.4711436629295349,0.29461413621902466
layer4,26,0.3390275566229857,1.8571738,jacamar,1.6804748,broom,1.4980974,beetle,1.4929938,peafowl,0.25829548,bird,0.3996343612670898,0.3832704424858093
layer4,27,0.3215695318272996,2.40896,nematode,1.6570957,Scottish Deerhound,1.4032578,ruler measuring stick,0.8401009,domestic cat,0.14603943,carnivore,0.3942244946956634,0.293893426656723
layer4,28,0.3774116217961102,2.2565887,window screen,2.1032093,shoji screen / room divider,1.8124843,prison,1.3990592,guitar,1.0435755,wild dog,0.4570333957672119,0.348230242729187
layer4,29,0.2855716716162576,1.3632519,Norwegian Elkhound,0.9719046,wolf,0.8465889,camera,0.7814601,fox,0.64544386,cat,0.3400968611240387,0.29202747344970703
layer4,30,0.2007874286964315,1.8520138,poncho,1.0853971,Tibetan Mastiff,0.975525,Komondor,0.94653404,fur coat,0.11270672,covering,0.3908474743366241,0.27763161063194275
layer4,31,0.3032481481283359,1.9642148,whistle,1.743391,safe,1.5063455,screw,1.3326955,potter's wheel,0.2104337,device,0.3800410330295563,0.18747791647911072
layer4,32,0.264527026075374,1.6111535,megalith,1.3274899,bolete,0.873146,frog,0.6413685,bottle,0.2805201,matter,0.4183599948883056,0.22423359751701355
layer4,33,0.3661029994528979,2.5203986,brass memorial plaque,1.8669503,pineapple,1.6721786,hen of the woods mushroom,1.4210347,armor plate,1.1675953,armor,0.4094610810279846,0.33041268587112427
layer4,34,0.3785491056506308,3.2423882,gondola,1.9983358,bridge,1.3554794,bear,1.2537737,primate,0.16372816,vertebrate,0.6754777431488037,0.3652365207672119
layer4,35,0.302110796373794,2.2062707,gong,1.8126042,barometer,1.5934261,tench,0.63543004,fish,0.4023621,musical instrument,0.4036900103092193,0.32713401317596436
layer4,36,0.2823334118740674,2.192592,dam,0.2906001,conveyance,0.28836805,vessel,0.23487803,structure,0.032346547,vehicle,0.3999084234237671,0.23544834554195404
layer4,37,0.3766850937742316,1.9578012,abaya,1.9117987,Weimaraner,1.5045762,cloak,0.9462872,bag,0.34855297,clothing,0.4010229408740997,0.3852667510509491
layer4,38,0.2961566146358128,0.37171498,gymnastic apparatus,0.20863764,clothing,0.06264105,artifact,0.051988214,garment,0.032861844,covering,0.2852165400981903,0.15769191086292267
layer4,39,0.6095502546751065,1.7938803,cat,1.4987786,feline,1.1333747,sporting dog,0.7781196,big cat,0.3280734,carnivore,0.4225194454193115,0.6067377328872681
layer4,40,0.3182588905967329,1.5626081,teapot,1.2518151,radiator grille,1.2281051,plate rack,0.6522214,car,0.085742995,artifact,0.3283001184463501,0.2657261788845062
layer4,41,0.2589676282780446,2.0588913,cliff dwelling,1.9921979,tile roof,1.5276885,baseball,1.3077219,baseball player,0.5785627,dwelling,0.4811702966690063,0.28408434987068176
layer4,42,0.2589524877661064,1.402248,hen of the woods mushroom,1.3822697,jigsaw puzzle,1.3372532,cliff dwelling,0.6139333,geological formation,0.23884444,bird,0.4252983331680298,0.2186228185892105
layer4,43,0.317627221792479,1.6684587,megalith,1.4704667,thatched roof,0.38827884,monkey,0.33698055,primate,0.08557239,vertebrate,0.3221304416656494,0.29757970571517944
layer4,44,0.3406114716728458,1.4100356,knee pad,1.0886542,sheath,0.92617285,shoe,0.89728147,lamellicorn beetle,0.62431157,footwear,0.3273319602012634,0.3534802794456482
layer4,45,0.4316677217300373,3.4075685,quilt,3.0512354,couch,2.5294073,four-poster bed,2.510425,sleeping bag,2.3959804,baby bed,0.497985690832138,0.502517819404602
