layer,unit,val correlation,weight0,concept0,weight1,concept1,weight2,concept2,weight3,concept3,weight4,concept4,weight5,concept5,weight6,concept6,weight7,concept7,weight8,concept8,weight9,concept9,bias,sim correlation
layer4,0,0.366345359256616,3.5689733,product packet / packaging,2.3038502,screw,2.24617,mousetrap,2.1242776,medical instrument,0.870405,Scottish Deerhound,0.81051576,Cairn Terrier,0.0,0,0,0,0,0,0,0,0.3341635167598724,0.31054019927978516
layer4,1,0.2417730421142056,4.4130845,dust jacket,3.0802362,medication,2.9065773,refreshments,2.42842,bottle cap,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.590910017490387,0.21788102388381958
layer4,2,0.2984043949740749,12.090488,pharmacist,4.014707,petticoat,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.4472143650054931,0.2708839178085327
layer4,3,0.3980775990282263,3.8576875,armament,3.6332335,harbour,2.0920854,printer,2.0505402,beaver,1.6976144,catamaran,0.0,0,0.0,0,0,0,0,0,0,0,0.3583589494228363,0.33164089918136597
layer4,4,0.3297140766719935,4.8206534,packaging,3.4993448,"inn, indoor",2.9809096,electronic equipment,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.4531017541885376,0.19044864177703857
layer4,5,0.3657824808719465,5.256193,armament,3.6701598,silver salmon,2.977778,fountain pen,2.011642,polliwog,1.7633407,cricket insect,0.0,0,0.0,0,0,0,0,0,0,0,0.4449556171894073,0.30598875880241394
layer4,6,0.3184268463494678,4.489571,uniform,1.2138902,macaque,1.0020002,Airedale Terrier,0.8164305,wirehair,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.4607730507850647,0.2951286733150482
layer4,7,0.3420474346525142,5.419229,dumbbell,4.5232253,mechanical device,2.8332973,brown bear,2.3342063,grasshopper,1.849586,Tibetan Mastiff,0.0,0,0.0,0,0,0,0,0,0,0,0.414738267660141,0.3514522612094879
layer4,8,0.497155148084847,3.4876275,viaduct,2.952844,African bush elephant,2.4628634,warthog,2.1815994,Asian elephant,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.3518463373184204,0.4004516899585724
layer4,9,0.3513301527719149,4.6625795,sailing vessel,2.4912229,electric locomotive,1.6936524,radio telescope,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.4339123070240021,0.3231489360332489
layer4,10,0.3716734211142181,3.1013567,concert,2.69566,arch(scene),1.9987062,cathedral,1.1900419,hound,0.9522429,St. Bernard,0.0,0,0.0,0,0,0,0,0,0,0,0.2457038015127182,0.32666924595832825
layer4,11,0.4379462059773452,4.554732,bookcase,2.3142457,hair spray,1.8853524,tool kit,1.5720811,siamang,1.0787351,belgian sheepdog,0.0,0,0.0,0,0,0,0,0,0,0,0.314588725566864,0.3503708839416504
layer4,12,0.4490096415036491,6.9610095,vegetables,6.6394405,forage,2.7756202,white-headed capuchin,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.5347477793693542,0.3077402114868164
layer4,13,0.4748536725943312,2.9864688,hummingbird,2.9785767,St. Bernard,2.2054682,King Charles Spaniel,2.1511743,Basenji,2.00549,Boston Terrier,1.9993865,Treeing Walker Coonhound,0.0,0,0,0,0,0,0,0,0.4357262849807739,0.42289796471595764
layer4,14,0.2447832693084048,6.9292703,band,2.2949715,military hat (bearskin or shako),1.9909725,vending machine,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.5301001667976379,0.1552261859178543
layer4,15,0.4368886540792588,5.377987,plant pot,4.7456326,mixing bowl,3.3859806,consomme,1.6023319,mortar and pestle,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.4124055206775665,0.38704562187194824
layer4,16,0.3732000285461317,5.8641624,carrousel,3.9518254,cathedral,3.701103,rickshaw,2.9537766,high-speed train,2.2629683,Japanese Chin,0.0,0,0.0,0,0,0,0,0,0,0,0.4900577068328857,0.3669193387031555
layer4,17,0.3391498043079387,1.3958412,dessert,1.3709569,hippopotamus,1.0427282,hen of the woods mushroom,0.90107757,arthropod,0.8665727,chimpanzee,0.0,0,0.0,0,0,0,0,0,0,0,0.2290690690279007,0.313293993473053
layer4,18,0.358519683952974,2.6757162,maize,2.1296558,gastronomy,1.9340953,picket fence,1.7828037,summer squash,1.2299167,coral fungus,0.9526615,Newfoundland dog,0.0,0,0,0,0,0,0,0,0.3684366941452026,0.2798721492290497
layer4,19,0.3294272230177074,2.423768,bedchamber,2.1332617,hummingbird,1.797749,American bullfrog,1.6984086,boa constrictor,1.6974666,chiton,0.0,0,0.0,0,0,0,0,0,0,0,0.3768650591373443,0.28507477045059204
layer4,20,0.3220530241066717,3.2556965,turnstile,2.4340239,home appliance,1.43037,photocopier,1.2546614,Angora rabbit,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.3701497614383697,0.20887546241283417
layer4,21,0.3982606419187154,6.345262,Petri dish,6.013153,drinking glass,3.8356628,soda bottle,2.453248,trifle,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.4601202011108398,0.3671923279762268
layer4,22,0.3813808970365205,5.166611,biosphere,2.7009351,aquatic mammal,1.9336525,lorikeet,1.8603057,American black bear,1.5847821,porcupine,1.5709333,Bedlington Terrier,0.0,0,0,0,0,0,0,0,0.3928055763244629,0.37982627749443054
layer4,23,0.4112991298368934,3.0686793,geyser,2.9760408,percoid fish,2.3848562,Pomeranian,2.0266654,fireboat,1.6836555,Angora rabbit,0.0,0,0.0,0,0,0,0,0,0,0,0.3208220899105072,0.3624768555164337
layer4,24,0.285016247318766,15.274071,jeans,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.528199315071106,0.3927212059497833
layer4,25,0.3103636615982917,6.0025053,rocking chair,5.033218,tricycle,4.7484355,tournament,1.997985,wheelbarrow,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.44562429189682,0.30573704838752747
layer4,26,0.4337812352432834,3.9886167,ground beetle,2.806504,peacock,2.6378996,hummingbird,2.146951,tench,2.0113728,jacamar,0.0,0,0.0,0,0,0,0,0,0,0,0.3853052258491516,0.4385085999965668
layer4,27,0.3459204170149246,3.7337313,hacksaw,3.3019633,tabby cat,1.8764808,ruler measuring stick,1.4537504,Scottish Deerhound,0.69113827,Flat-Coated Retriever,0.0,0,0.0,0,0,0,0,0,0,0,0.3840009272098541,0.24496875703334808
layer4,28,0.3893485477334206,5.6731377,imprisonment,3.0288239,window screen,2.7847445,dingo,1.6985285,shoji screen / room divider,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.4090446531772613,0.2738572955131531
layer4,29,0.3706991033779438,2.7514653,hubcap,2.1515198,grey fox,2.0261834,snail,1.5462589,magnetic compass,1.3206776,Norwegian Elkhound,0.0,0,0.0,0,0,0,0,0,0,0,0.3207028210163116,0.26963505148887634
layer4,30,0.2704885923320759,4.2445946,shawl,2.0635433,lampshade,1.3686255,Tibetan Mastiff,0.7134575,Old English Sheepdog,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.3785388171672821,0.3019298315048218
layer4,31,0.2875351240979973,3.0681539,electronic equipment,2.3158915,whistle,1.6371279,pan flute,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.3645637929439544,0.17874155938625336
layer4,32,0.3395760253487607,4.4309688,urn,1.6654984,American bullfrog,1.5985081,thimble,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.4061717092990875,0.23765872418880463
layer4,33,0.3780917591636586,5.3148003,gravestone,4.0135627,brass memorial plaque,3.111305,great ape,2.5579572,armour,2.1278746,Pickelhaube,0.0,0,0.0,0,0,0,0,0,0,0,0.3711359202861786,0.35517802834510803
layer4,34,0.4245767446686291,7.0196767,suspension bridge,6.9879785,ferryboat,5.082757,zoo,4.654005,aquatic mammal,2.1204739,lesser ape,0.0,0,0.0,0,0,0,0,0,0,0,0.6664430499076843,0.42945995926856995
layer4,35,0.3581836022404698,5.141426,cymbal,3.2680395,tench,3.1759517,dromedary,1.9748199,barometer,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.3680168390274048,0.3209276795387268
