layer,unit,val correlation,weight0,concept0,weight1,concept1,weight2,concept2,weight3,concept3,weight4,concept4,weight5,concept5,weight6,concept6,weight7,concept7,weight8,concept8,weight9,concept9,bias,sim correlation
layer2,0,0.1294027519664889,0.105822824,archaelogical excavation,0.09761924,burial chamber,0.0749608,trench,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.1946133822202682,0.09911662340164185
layer2,1,0.0616044690628931,0.037773214,"greenhouse, outdoor",0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.1410344988107681,0.02748112380504608
layer2,2,0.1379805689409202,0.03906784,"mosque, outdoor",0.033221982,throne room,0.028164182,"pub, indoor",0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0666755884885788,0.16179116070270538
layer2,3,0.0520835967120593,0.013458161,airport terminal,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.2185116708278656,0.022219303995370865
layer2,4,0.1530758352065922,0.19553475,bamboo forest,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.2060856521129608,0.0770215392112732
layer2,5,0.2476116896235447,0.122661255,"underwater, ocean deep",0.070615016,aquarium,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.1985910236835479,0.1491626650094986
layer2,6,0.3344760787313128,0.19082354,vegetable garden,0.16320266,"field, wild",0.15557535,botanical garden,0.15348975,roof garden,0.14208518,rainforest,0.13735165,"greenhouse, indoor",0.12492132,fishpond,0,0,0,0,0,0,0.0770895406603813,0.4149782359600067
layer2,7,0.1514739435038345,0.1234071,raceway,0.118592724,"general store, outdoor",0.0633857,"apartment building, outdoor",0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.2377305328845977,0.14824730157852173
layer2,8,0.0447635025626532,0.04432169,topiary garden,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.1745286732912063,0.08942263573408127
layer2,9,0.164237883415378,0.09194614,"basketball court, indoor",0.09054192,physics laboratory,0.08678502,"general store, indoor",0.08485378,engine room,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.1410398036241531,0.19890901446342468
layer2,10,0.2148455305074703,0.22993782,orchestra pit,0.17049244,bar,0.13483994,boxing ring,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.2249341756105423,0.2123275250196457
