layer,unit,description,similarity,sim correlation
encoder,0,youngest,0.089019775,0.03773381561040878
encoder,1,stairs,0.08950806,0.02944529429078102
encoder,2,textile,0.12609863,0.069778211414814
encoder,3,screened,0.070617676,0.012718080542981625
encoder,4,corridors,0.22247314,0.04891695827245712
encoder,5,rot,0.18106079,-0.01896112784743309
encoder,6,peruvian,0.09902954,-0.006058677099645138
encoder,7,motorcycles,0.11380005,0.019855733960866928
encoder,8,vendor,0.12542725,0.07444585859775543
encoder,9,highways,0.19314575,0.04271046072244644
encoder,10,gypsy,0.07058716,0.018613090738654137
encoder,11,red,0.21340942,0.04447471350431442
encoder,12,cooking,0.17547607,0.0062446510419249535
encoder,13,developmental,0.048858643,0.016984429210424423
encoder,14,dog,0.20236206,0.07049974799156189
encoder,15,furnished,0.29241943,0.03123672679066658
encoder,16,bathroom,0.23031616,0.029790230095386505
encoder,17,cookbooks,0.20111084,0.0016031221020966768
encoder,18,dog,0.14550781,0.04179031401872635
encoder,19,poles,0.08029175,0.04721564054489136
encoder,20,kitchens,0.32983398,0.035356298089027405
encoder,21,bottles,0.10562134,0.02674960531294346
encoder,22,cabinets,0.1711731,0.013749177567660809
encoder,23,somalia,0.08898926,0.011240066029131413
encoder,24,bedrooms,0.12411499,0.019301017746329308
encoder,25,coolers,0.06695557,0.03519374132156372
encoder,26,kitchens,0.20913696,0.047836363315582275
encoder,27,volunteering,0.10205078,0.02081136591732502
encoder,28,textile,0.16522217,0.059306055307388306
encoder,29,dog,0.16390991,0.0730489119887352
encoder,30,skyline,0.28463745,0.052832409739494324
encoder,31,furnished,0.18139648,0.05991058051586151
encoder,32,kitchens,0.24813843,0.005781414452940226
encoder,33,bathroom,0.13198853,0.085142120718956
encoder,34,parking,0.10992432,0.03215084224939346
encoder,35,mule,0.05038452,0.00562264584004879
encoder,36,book,0.071380615,0.008143863640725613
encoder,37,terrier,0.14822388,0.11217478662729263
encoder,38,submarine,0.06826782,-0.0169275663793087
encoder,39,yard,0.10021973,0.08733776211738586
encoder,40,kitchen,0.33087158,0.0040076426230371
encoder,41,mill,0.06112671,0.02392665296792984
encoder,42,exterior,0.064697266,0.06118861213326454
encoder,43,dining,0.1043396,0.058111343532800674
encoder,44,kid,0.07147217,0.04786679893732071
encoder,45,street,0.22283936,0.01977052167057991
encoder,46,culinary,0.091674805,0.06081808730959892
encoder,47,kitchens,0.19641113,0.06256072223186493
encoder,48,brushes,0.094055176,0.030031580477952957
encoder,49,workspace,0.083465576,0.09160083532333374
encoder,50,drinking,0.093170166,0.014177785255014896
encoder,51,photosmart,0.07720947,0.01141485758125782
encoder,52,horseback,0.17895508,0.022129815071821213
encoder,53,skiing,0.07632446,0.05976618081331253
encoder,54,bedrooms,0.27868652,0.07125488668680191
encoder,55,towing,0.07324219,-0.011786016635596752
encoder,56,garnet,0.23971558,0.04570886865258217
encoder,57,concrete,0.10180664,-0.00378807564266026
encoder,58,shops,0.07711792,0.06943895667791367
encoder,59,dog,0.13989258,0.022076677531003952
encoder,60,sampler,0.081085205,0.03668786212801933
encoder,61,fence,0.08428955,0.10078071802854538
encoder,62,rot,0.29492188,-0.02725616656243801
encoder,63,axe,0.10055542,0.07718440890312195
encoder,64,terrier,0.12542725,0.003737059887498617
encoder,65,textile,0.13208008,0.11203449219465256
encoder,66,transexual,0.079956055,0.019454242661595345
encoder,67,sheraton,0.07644653,0.024995600804686546
encoder,68,desk,0.08291626,0.031196901574730873
encoder,69,chromatography,0.13702393,0.023657549172639847
encoder,70,logo,0.2010498,0.04358096420764923
encoder,71,cooking,0.074523926,0.0891588106751442
encoder,72,avenues,0.069244385,-0.0061216033063828945
encoder,73,bathroom,0.20928955,0.03299060836434364
encoder,74,bowl,0.09500122,0.027073977515101433
encoder,75,penthouse,0.10964966,0.044114839285612106
encoder,76,furnished,0.1138916,0.00020270761160645634
encoder,77,touring,0.0680542,-0.04608975723385811
encoder,78,furnished,0.12567139,0.03438267484307289
encoder,79,lamb,0.07241821,0.040038250386714935
encoder,80,newsgator,0.08148193,-0.015373380854725838
encoder,81,colombian,0.083862305,0.00654212199151516
encoder,82,kitchens,0.55770874,0.01911030523478985
encoder,83,lodging,0.13928223,0.013896062970161438
encoder,84,madrid,0.09710693,0.01366433035582304
encoder,85,pavilion,0.21817017,0.026429304853081703
encoder,86,floor,0.062286377,0.014990122988820076
encoder,87,garnet,0.11898804,-0.016941163688898087
encoder,88,bathroom,0.14923096,0.0138285793364048
encoder,89,bedrooms,0.11029053,0.07454794645309448
encoder,90,social,0.08682251,0.014031211845576763
encoder,91,repairs,0.07382202,0.044541966170072556
encoder,92,dinnerware,0.25231934,0.015980727970600128
encoder,93,crystals,0.09689331,0.0018520355224609375
encoder,94,cookware,0.14682007,0.020512549206614494
