layer,unit,val correlation,weight0,concept0,weight1,concept1,weight2,concept2,weight3,concept3,bias,sim correlation
layer4,0,0.2560368663876707,1.4601749,screw,1.4351724,baby pacifier,0.72536045,toiletry,0.14277697,instrumentality,0.3264590799808502,0.2104179710149765
layer4,1,0.2479015874235366,2.5883434,traffic or street sign,1.8171303,doormat,1.7608218,dust jacket,0.89179516,bottle,0.6226018667221069,0.20513519644737244
layer4,2,0.3360575502832141,2.2422624,lab coat,1.871945,bridegroom,0.7350164,toiletry,0.36936238,clothing,0.4557101726531982,0.30187124013900757
layer4,3,0.368465320230071,0.8912733,weapon,0.791444,rodent,0.33416325,conveyance,0.120233335,instrumentality,0.3404139280319214,0.2178799957036972
layer4,4,0.279816222687536,2.2581837,cardboard box / carton,1.0738544,sandwich,0.4295772,equipment,0.42104533,substance,0.5034164190292358,0.2658228278160095
layer4,5,0.2590353055125159,2.5916646,hot dog,1.4869368,weapon,0.77284074,salamander,0.52325964,amphibian,0.5076913833618164,0.24074791371822357
layer4,6,0.3200949374582813,1.5340655,suit,0.9920761,necktie,0.41405624,hunting dog,0.33991712,clothing,0.4639144837856293,0.21914049983024597
layer4,7,0.3059360763654349,2.281233,weight,1.4773556,orthopterous insect,0.9299324,bear,0.2111749,canine,0.4613234996795654,0.16905920207500458
layer4,8,0.5030837257857731,2.703898,tusker,2.555962,elephant,1.9913218,viaduct,1.587731,swine,0.3614346086978912,0.39536717534065247
layer4,9,0.3825377465964992,1.9592264,pirate ship,1.4451178,sailing vessel,0.24450983,conveyance,0.11849236,artifact,0.3662461340427398,0.2727562487125397
layer4,10,0.340590596257693,1.0854791,triumphal arch,0.85946184,vaulted or arched ceiling,0.30484107,musical instrument,0.14497598,carnivore,0.252506285905838,0.2205655872821808
layer4,11,0.2894890827880181,2.119759,bookcase,1.6485497,library,1.3737956,bookstore,0.7916494,toiletry,0.3468606770038605,0.33178287744522095
layer4,12,0.369293322745152,1.2459416,primate,1.1610026,fungus,0.81370443,amphibian,0.80790895,dish,0.5726035833358765,0.36303073167800903
layer4,13,0.3706345611274025,2.3517952,Basenji,2.2559955,St. Bernard,2.1523335,springer spaniel,2.089399,sennenhunde,0.4757134318351745,0.3708942234516144
layer4,14,0.3281094463726793,1.6946398,bridegroom,1.4186302,slot machine,0.43261123,clothing,0.19074471,artifact,0.4252723157405853,0.1733647882938385
layer4,15,0.3795976621706894,2.1957657,mortar and pestle,2.1654398,bucket,1.9693294,bowl,0.95790446,utensil,0.4561222493648529,0.3782294988632202
layer4,16,0.3689145404171536,3.6197548,carousel,0.78343326,toy dog,0.45744103,conveyance,0.2502239,dog,0.4709405899047851,0.3102184236049652
layer4,17,0.3007739434904968,1.3132597,trilobite,1.0898077,triceratops,0.25137648,primate,0.16835739,invertebrate,0.2398571223020553,0.3331226408481598
layer4,18,0.2708340448527115,1.7494622,picket fence,1.7067993,corn,1.5431901,dishcloth,1.0048599,squash,0.4031673669815063,0.2926589548587799
layer4,19,0.2669132695560587,1.0804132,boa,1.0526906,frog,0.89396197,viper,0.24974212,reptile,0.3958568572998047,0.23461857438087463
layer4,20,0.2570161602334495,1.3011883,photocopier,1.2656394,mosquito net,1.1210425,Angora rabbit,0.09377743,artifact,0.3506295084953308,0.2215297818183899
layer4,21,0.2853499174551468,2.8694415,bubble,2.449707,Petri dish,1.9797634,glass,1.0146549,bottle,0.4965946078300476,0.4423595666885376
layer4,22,0.2844237513420037,2.4698992,planetarium,1.7464134,lorikeet,1.6855621,oscilloscope,1.2781773,bear,0.446469098329544,0.2902102768421173
layer4,23,0.2668001102321055,2.2768445,geyser,1.571442,flatworm,0.99752176,spitz,0.70517457,amphibian,0.3517230153083801,0.291343629360199
layer4,24,0.3532421239175176,5.08828,jeans,1.7714481,slip-on shoe,1.5938034,indigo bunting,0.12930517,artifact,0.4737738668918609,0.3701423406600952
layer4,25,0.2872769085484636,2.2243364,rickshaw,1.9353949,tricycle,1.8506483,chair,0.39177966,clothing,0.4759342074394226,0.29003623127937317
layer4,26,0.3092261323976352,1.6887759,broom,1.493918,beetle,1.4559234,peafowl,0.28318718,bird,0.3946499824523926,0.3398374617099762
layer4,27,0.2833451510554527,2.3950148,nematode,1.7913524,Scottish Deerhound,1.3737293,ruler measuring stick,0.96845734,domestic cat,0.415487676858902,0.2946748435497284
layer4,28,0.342371333745178,2.24268,window screen,2.099976,shoji screen / room divider,1.8136423,prison,1.397184,guitar,0.454414427280426,0.31887397170066833
layer4,29,0.2788810984238827,1.3521124,Norwegian Elkhound,0.97582924,wolf,0.7835462,fox,0.6451684,cat,0.3424315452575683,0.2726767957210541
layer4,30,0.1787850836878948,1.8660108,poncho,1.0736113,Tibetan Mastiff,0.9535921,fur coat,0.11071994,covering,0.3956674933433532,0.2813206613063812
layer4,31,0.2954358601982768,1.9459068,whistle,1.7393321,safe,1.4721711,screw,0.22525708,device,0.3828479349613189,0.16487403213977814
layer4,32,0.2189277698399291,1.5962882,megalith,1.3052117,bolete,0.86205477,frog,0.626043,bottle,0.4326452314853668,0.22092954814434052
layer4,33,0.3517929117850269,2.5123706,brass memorial plaque,1.8577337,pineapple,1.4097078,armor plate,1.1696712,armor,0.4081833362579345,0.3072153627872467
layer4,34,0.3566805606020072,3.2294154,gondola,1.9781832,bridge,1.2381363,primate,0.18239911,vertebrate,0.6803222894668579,0.36118680238723755
layer4,35,0.2785855042783127,2.1959627,gong,1.8224549,barometer,0.7291253,fish,0.40578717,musical instrument,0.4055201709270477,0.29304736852645874
layer4,36,0.282109909817926,2.180713,dam,0.3187521,conveyance,0.2913158,vessel,0.23260278,structure,0.4012653529644012,0.23482564091682434
layer4,37,0.3212908583738337,2.29535,abaya,1.9074392,Weimaraner,1.4844562,cloak,0.93461776,bag,0.4207678437232971,0.3761689066886902
layer4,38,0.2950042171746475,0.37242195,gymnastic apparatus,0.23311731,clothing,0.061435726,artifact,0.031025779,covering,0.2834208905696869,0.1462450623512268
layer4,39,0.6096832590585809,2.26157,feline,1.1360251,sporting dog,1.0151635,cat,0.33608612,carnivore,0.424810916185379,0.5895059704780579
layer4,40,0.3116524366009817,1.5535282,teapot,1.2460485,radiator grille,0.64694005,car,0.08918207,artifact,0.3224554657936096,0.26384344696998596
layer4,41,0.2505838360203586,2.647065,cliff dwelling,1.988765,tile roof,1.536513,baseball,1.3072896,baseball player,0.4828170239925384,0.2824053466320038
layer4,42,0.2537796052129554,1.4022584,hen of the woods mushroom,1.3813212,jigsaw puzzle,0.61789495,geological formation,0.23839521,bird,0.430630475282669,0.20658732950687408
layer4,43,0.2913980323920715,1.657377,megalith,0.38558167,monkey,0.33390495,primate,0.083267234,vertebrate,0.3230608403682709,0.2798939347267151
layer4,44,0.3279949130424761,1.401888,knee pad,0.9275009,shoe,0.89157814,lamellicorn beetle,0.6212855,footwear,0.3294986188411712,0.3396114706993103
layer4,45,0.3600260141607321,3.384574,quilt,3.0657136,couch,2.5408943,four-poster bed,2.3921032,baby bed,0.5052430033683777,0.4717119038105011
layer4,46,0.2768576576027377,2.2211955,Irish Water Spaniel,1.7775118,broccoli,1.6379899,Curly-coated Retriever,1.4614972,poodle,0.4349979162216186,0.3135397732257843
layer4,47,0.3738488551353424,1.1812909,shark,0.28749436,artifact,0.23051998,covering,0.16421215,device,0.3832387924194336,0.1363319456577301
layer4,48,0.2114832717314003,1.4431728,knot,0.98819053,baby bed,0.8899267,basket,0.29592824,snake,0.4447965323925018,0.2446805089712143
layer4,49,0.3551382810177919,2.2970564,automated teller machine,1.1982292,electronic equipment,0.8700229,ape,0.5561029,primate,0.4509160220623016,0.35385623574256897
layer4,50,0.4132684807785968,1.1347135,corgi,0.5560781,diapsid,0.29141873,working dog,0.2679491,mammal,0.3543364107608795,0.30960550904273987
layer4,51,0.1719155044466734,1.4892031,rocking chair,0.87693155,weight,0.7904154,cart,0.5609828,lizard,0.4588212966918945,0.22846490144729614
