layer,unit,val correlation,weight0,concept0,weight1,concept1,weight2,concept2,weight3,concept3,weight4,concept4,weight5,concept5,weight6,concept6,weight7,concept7,weight8,concept8,weight9,concept9,bias,sim correlation
encoder.layers.encoder_layer_11.mlp[1],0,0.6603609952165308,1.5511495,fishing casting reel,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,-0.0298162940889596,0.622982382774353
encoder.layers.encoder_layer_11.mlp[1],1,0.650581442472396,1.4801934,Australian Terrier,1.0462832,Norwich Terrier,0.47730303,Groenendael dog,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,-0.0136656770482659,0.697320282459259
encoder.layers.encoder_layer_11.mlp[1],2,0.8627746600185567,1.0481113,Affenpinscher,0.72684795,Pekingese,0.21504831,gorilla,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,-0.0051404028199613,0.6832961440086365
encoder.layers.encoder_layer_11.mlp[1],3,0.703105997923595,0.697835,garbage truck,0.6483364,semi-trailer truck,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,-0.0038491510786116,0.49844667315483093
encoder.layers.encoder_layer_11.mlp[1],4,0.8381788024003033,0.7929404,red admiral butterfly,0.525467,ladybug,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,-0.0088342884555459,0.5892529487609863
encoder.layers.encoder_layer_11.mlp[1],5,0.0828785285596964,0.08644145,umbrella,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,-0.0415807366371154,0.011695907451212406
encoder.layers.encoder_layer_11.mlp[1],6,0.2552057884574629,0.121099845,window screen,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,-0.0345389321446418,0.17494359612464905
encoder.layers.encoder_layer_11.mlp[1],7,0.2991112848511791,0.5362461,purse,0.2251827,tray,0.017711962,vertebrate,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,-0.0638861581683158,0.14153188467025757
encoder.layers.encoder_layer_11.mlp[1],8,0.7675063522195263,1.0985147,beer glass,0.9620876,soda bottle,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,-0.0083195222541689,0.5912248492240906
encoder.layers.encoder_layer_11.mlp[1],9,0.0182017399226559,-0.023420269,stingray,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,-0.0176710747182369,0.013813593424856663
encoder.layers.encoder_layer_11.mlp[1],10,0.790357677174782,1.5861218,brussels griffon,1.38901,Schipperke,0.79979366,pug,0.74631584,Siamese cat,0.3665897,Malinois,0.0,0,0.0,0,0,0,0,0,0,0,-0.0253785233944654,0.5434461832046509
encoder.layers.encoder_layer_11.mlp[1],11,0.6179563394946247,0.86282575,sandal,0.77821124,neck brace,0.3688439,sneaker,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,-0.013420371338725,0.3341517746448517
encoder.layers.encoder_layer_11.mlp[1],12,0.0969514663526008,0.0113327475,organism,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,-0.055959366261959,0.02508660778403282
encoder.layers.encoder_layer_11.mlp[1],13,0.6662224006241525,2.3051155,refrigerator,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,-0.0808287486433982,0.6860802173614502
encoder.layers.encoder_layer_11.mlp[1],14,0.068837038128843,0.016440645,dog,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,-0.048502393066883,0.10718033462762833
encoder.layers.encoder_layer_11.mlp[1],15,0.8816895624828855,2.2814069,house finch,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,-0.0331374481320381,0.7777534127235413
encoder.layers.encoder_layer_11.mlp[1],16,0.3245518145394936,0.3917602,fishing casting reel,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,-0.0832147374749183,0.070560984313488
encoder.layers.encoder_layer_11.mlp[1],17,0.5476658661030624,3.4015706,hair dryer,0.3873892,power drill,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,-0.0969928056001663,0.6874182820320129
encoder.layers.encoder_layer_11.mlp[1],18,0.5952624051325093,0.6963804,slot machine,0.65683514,carousel,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,-0.0101743331179022,0.46427783370018005
encoder.layers.encoder_layer_11.mlp[1],19,0.2530877767255135,0.76240325,modem,0.3190144,ballpoint pen,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,-0.0563145391643047,0.31710079312324524
encoder.layers.encoder_layer_11.mlp[1],20,0.8048695757179253,0.699781,brambling,0.6036467,prairie grouse,0.58051383,American robin,0.33875465,partridge,0.23404033,black grouse,0.0,0,0.0,0,0,0,0,0,0,0,-0.0139024062082171,0.7340759038925171
encoder.layers.encoder_layer_11.mlp[1],21,0.7745446214824506,1.2065327,messenger bag,1.1660451,purse,0.5932718,wallet,0.4149282,pencil case,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,-0.0066134226508438,0.6134393215179443
encoder.layers.encoder_layer_11.mlp[1],22,0.8082027799909299,1.0466301,Australian Silky Terrier,0.5929492,Yorkshire Terrier,0.5704616,Australian Terrier,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,-0.0014396399492397,0.5692986249923706
encoder.layers.encoder_layer_11.mlp[1],23,0.7489869346701569,1.172026,American black bear,0.79827034,oystercatcher,0.65359074,mink,0.39738762,common gallinule,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,-0.0157646480947732,0.5735135674476624
encoder.layers.encoder_layer_11.mlp[1],24,0.0743130954280435,0.112789296,window screen,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,-0.0818473398685455,-0.009412404149770737
encoder.layers.encoder_layer_11.mlp[1],25,0.0701906128421861,0.0018578193,conveyance,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,-0.0058779451064765,0.005083132069557905
encoder.layers.encoder_layer_11.mlp[1],26,0.6968019553989919,0.8828899,electric locomotive,0.6208532,trolleybus,0.370646,railroad car,0.35913372,water tower,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,-0.02451709844172,0.5590879917144775
encoder.layers.encoder_layer_11.mlp[1],27,0.6563020208563802,0.8004427,block plane,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,-0.0105479750782251,0.3657968044281006
encoder.layers.encoder_layer_11.mlp[1],28,0.7739742611130597,0.95872045,farm machine,0.95261675,tractor,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,-0.0151842022314667,0.7291351556777954
encoder.layers.encoder_layer_11.mlp[1],29,0.5498667644414365,0.44144526,magpie,0.37569603,American robin,0.2520871,jacamar,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,-0.0483929850161075,0.42206913232803345
encoder.layers.encoder_layer_11.mlp[1],30,0.6559825875323783,1.1071777,wooden spoon,0.73344105,Dutch oven,0.68101466,mixing bowl,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,-0.0078336140140891,0.4914502799510956
encoder.layers.encoder_layer_11.mlp[1],31,0.8469347329610426,2.1037061,Bullmastiff,1.9007548,Chesapeake Bay Retriever,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,-0.0325349532067775,0.6501170992851257
encoder.layers.encoder_layer_11.mlp[1],32,0.0264915343874819,-0.0073434804,watchdog,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,-0.0122817838564515,0.2576005458831787
encoder.layers.encoder_layer_11.mlp[1],33,0.1206582877572342,0.36276773,poke bonnet,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,-0.0502237044274807,0.1291925609111786
encoder.layers.encoder_layer_11.mlp[1],34,0.5901449862092107,0.5978328,oboe,0.5653828,crossword,0.40703633,pen,0.2807098,paintbrush,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,-0.0098263910040259,0.4602171778678894
encoder.layers.encoder_layer_11.mlp[1],35,0.7716933858399776,0.8164687,Papillon,0.5359047,Yorkshire Terrier,0.44180572,oystercatcher,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,-0.0098971696570515,0.3898879587650299
encoder.layers.encoder_layer_11.mlp[1],36,0.2423285104268699,0.33183888,Leonberger,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,-0.0430439263582229,0.23668444156646729
encoder.layers.encoder_layer_11.mlp[1],37,0.1706527786464851,0.01829568,vertebrate,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,-0.041113156825304,0.10548494756221771
encoder.layers.encoder_layer_11.mlp[1],38,0.105165147299848,0.3221588,toy terrier,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,-0.0303235594183206,0.2864123284816742
encoder.layers.encoder_layer_11.mlp[1],39,0.6862267452114768,2.960533,trombone,2.9416342,cornet,0.4254055,brass,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,-0.0815572366118431,0.7229548096656799
encoder.layers.encoder_layer_11.mlp[1],40,0.4926920721398852,0.51069236,product packet / packaging,0.14494924,Band-Aid,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,-0.0805694907903671,0.12304229289293289
encoder.layers.encoder_layer_11.mlp[1],41,0.4703659541909357,0.8961959,bridegroom,0.755723,dining table,0.4845149,restaurant,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,-0.0150237614288926,0.4154492914676666
encoder.layers.encoder_layer_11.mlp[1],42,0.6021331388523292,1.1989862,Norwich Terrier,1.186773,Chihuahua,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,-0.0238708741962909,0.4638349413871765
