layer,unit,val correlation,weight0,concept0,weight1,concept1,weight2,concept2,weight3,concept3,weight4,concept4,weight5,concept5,weight6,concept6,weight7,concept7,weight8,concept8,weight9,concept9,bias,sim correlation
encoder,0,0.124063845,0.9680267,orthopterous insect,0.7695091,poodle,0.32487133,shepherd dog,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.056556109,0.056834094
encoder,1,0.122023867,0.73620474,beating-reed instrument,0.29792097,primate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.014960705,0.075064123
encoder,2,0.112474128,1.0368712,Cocker Spaniel,0.72435194,sennenhunde,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.126745388,0.059917588
encoder,3,0.132861488,0.7253006,schnauzer,0.14318901,bird,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048207436,0.056576684
encoder,4,0.136902394,0.9861663,safe,0.3206467,dish,0.25067738,reptile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059484407,0.105171129
encoder,5,0.135031093,1.2324319,mink,0.88416666,sandwich,0.087246194,instrumentality,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.035558637,0.078460589
encoder,6,0.121798109,1.1195862,Mexican hairless dog (xoloitzcuintli),0.8893247,cheeseburger,0.80374324,Papillon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026233736,0.099731527
encoder,7,0.163862596,1.0324777,Standard Poodle,0.67278725,sennenhunde,0.5460668,spaniel,0.292977,shepherd dog,0,0,0,0,0,0,0,0,0,0,0,0,-0.048293915,0.121294469
encoder,8,0.114874426,0.5368681,footwear,0.30596715,musical instrument,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.001432457,0.127402768
encoder,9,0.154412593,1.4437096,Rottweiler,0.5146755,toiletry,0.4085009,snake,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.101210289,0.133075297
encoder,10,0.138939033,0.88739413,earth star fungus,0.13737433,carnivore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016401039,0.037925757
encoder,11,0.179416602,0.71395916,crockery,0.55175406,part,0.16864187,canine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.086485043,0.078372799
encoder,12,0.146271452,0.50597984,musteline mammal,0.47536033,footwear,0.47454652,toiletry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.061410248,0.081360042
encoder,13,0.10824102,0.7310637,wild dog,0.48222563,game bird,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00240634,0.103791915
encoder,14,0.122116526,1.0382177,Boxer,0.0906353,placental,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013256303,0.088645399
encoder,15,0.107236359,0.98045397,car mirror,0.9458455,plant pot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.037466571,0.059695158
encoder,16,0.092885011,1.012131,Malinois,0.85286105,bee eater,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.012204146,0.076738708
encoder,17,0.11477714,0.44383222,arachnid,0.4109781,wind instrument,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029276941,0.09221039
encoder,18,0.132953743,0.98328054,lionfish,0.834595,poodle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035390444,0.114285074
encoder,19,0.108147682,1.0785022,china cabinet,0.7346631,wirehair,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.090748683,0.107815474
encoder,20,0.131288511,0.4927711,stringed instrument,0.44204292,sports equipment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041509807,0.051324878
encoder,21,0.050551482,0.67561996,agamid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.005698101,-0.011467531
encoder,22,0.132027216,0.80853015,elephant,0.6533775,spitz,0.5692053,cutter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002484059,0.090261884
encoder,23,0.135207955,0.849465,moped,0.72899777,corgi,0.39868316,geological formation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.01736147,0.110420346
encoder,24,0.09902319,1.036865,garter snake,0.88264185,golf ball,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002776554,0.087533407
encoder,25,0.094619847,0.47283232,beetle,0.34585246,abstraction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.033645663,0.070708275
encoder,26,0.121560747,1.1627406,sandwich,0.42815572,car,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006329211,0.098208003
